date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source,cluster_id,cluster_decision,cluster_block_reason
227,MU,sell,0.028320816425507944,237.72406005859375,6.718595878036069,,trim_exit,1.2763214296844252,17,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
228,MU,sell,0.018974947005090323,253.0913848876953,4.792364277566726,,trim_exit,1.1460403971711246,18,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
229,MU,sell,0.012713214493410514,240.91143798828125,3.0563154633401104,,trim_exit,0.6132784634750577,19,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
230,MU,sell,0.008517853710585045,244.6982879638672,2.079919172267313,,trim_exit,0.44308438235772796,20,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
231,UGP,sell,118.07766839049157,4.090000152587891,482.0869457672884,,trailing_stop,-11.43185484488663,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,4,,
233,M,sell,38.28453442078282,18.79315185546875,717.9783661998237,,trailing_stop,-37.596689463554526,18,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
234,PDD,sell,2.64782920457238,119.58000183105469,316.1164887212908,,trailing_stop,-30.627356665221157,54,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,5,,
235,MU,sell,0.017293824200278727,225.73394775390625,3.8955115197350247,,trailing_stop,0.5722408856761696,25,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,3,,
235,GGB,buy,85.16839406295352,3.420784256766723,291.34270158465586,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
235,MRK,buy,3.089538674789352,93.70123599034446,289.49359246773315,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
235,APA,buy,12.188027787180639,23.711715611619727,288.9990487561462,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
239,JNJ,sell,1.8229102269053556,204.40159606933594,372.13121974497426,,take_profit,58.51623287777255,74,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
240,M,buy,12.57630516562983,22.05927133339277,277.4241280201775,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
240,UGP,buy,63.23195307122472,4.126893704002511,260.95154902141957,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
244,CVS,sell,4.494628066333949,73.74073028564453,330.9404726560444,,trailing_stop,-19.194015470074305,24,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
244,APA,sell,4.022049169769611,26.51863670349121,106.45094141190694,,trim_exit,11.081255322378695,9,True,defensive_income,defensive_income,defensive_income,global_rule,,,
245,APA,sell,2.6947729437456394,26.28247833251953,70.68752395215034,,trim_exit,6.789834272166416,10,True,defensive_income,defensive_income,defensive_income,global_rule,,,
245,JNJ,buy,1.185827312804777,200.51390133122078,237.77486079560373,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
246,UGP,sell,63.23195307122472,3.990000009536743,251.85868476753035,,trailing_stop,-9.092864253889218,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
247,MRK,sell,8.218936981587984,97.37040710449219,798.9621763516094,,trailing_stop,-10.61571638373016,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
252,APA,sell,5.471205673665389,24.865528106689453,135.79053739181532,,trailing_stop,6.0588644051813105,17,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
