segment,variant,start_day,end_day,excess_delta_vs_current,return_delta_vs_current
all,neutral_065_5,1002,1047,0.00013837461813626106,0.00013837461813626106
all,neutral_065_5,1003,1048,0.0023329367788686994,0.0023329367788686994
all,neutral_065_5,1004,1049,0.00011548944090966629,0.00011548944090966629
all,neutral_065_5,1005,1050,0.0027426054445354175,0.0027426054445354175
all,neutral_065_5,1006,1051,0.00462230724685786,0.00462230724685786
all,neutral_065_5,1007,1052,0.007075358768875439,0.007075358768875439
all,neutral_065_5,1008,1053,0.003936196381932433,0.003936196381932433
all,neutral_065_5,1009,1054,0.005084728204012734,0.005084728204012734
all,neutral_065_5,1010,1055,0.006172076276585559,0.006172076276585559
all,neutral_065_5,1011,1056,0.00823163322552345,0.00823163322552345
all,neutral_065_5,1012,1057,0.006881999892594859,0.006881999892594859
all,neutral_065_5,1013,1058,0.000283227245608364,0.000283227245608364
all,neutral_065_5,1014,1059,0.00827369783158205,0.00827369783158205
all,neutral_065_5,1015,1060,0.004629424616881206,0.004629424616881206
all,neutral_065_5,1016,1061,0.008876937141518493,0.008876937141518493
all,neutral_065_5,1017,1062,0.009363023057262998,0.009363023057262998
all,neutral_065_5,1018,1063,-0.0021077628326404696,-0.0021077628326404696
all,neutral_065_5,2378,2423,-0.009303852551263203,-0.009303852551263203
all,neutral_065_5,2379,2424,-0.004045918645021573,-0.004045918645021573
all,neutral_065_5,2380,2425,-0.006479832588747958,-0.006479832588747958
all,neutral_065_5,2381,2426,-0.008882354320065788,-0.008882354320065788
all,neutral_065_5,3598,3643,0.024203121806429362,0.024203121806429362
all,neutral_065_5,3599,3644,0.010795647546889775,0.010795647546889775
all,neutral_065_5,3600,3645,0.011853079888132001,0.011853079888132001
all,neutral_065_5,3601,3646,0.024032615536899282,0.024032615536899282
all,neutral_065_5,3602,3647,0.014036824312677387,0.014036824312677387
all,neutral_065_5,3603,3648,0.023619189356338,0.023619189356338
all,neutral_065_5,3604,3649,0.011987029834665153,0.011987029834665153
all,neutral_065_5,3605,3650,0.018490524536926234,0.018490524536926234
all,neutral_065_5,3606,3651,0.009684386866632533,0.009684386866632533
all,neutral_065_5,3607,3652,0.001820494261230765,0.001820494261230765
all,neutral_065_5,3608,3653,0.008586664871793381,0.008586664871793381
all,neutral_065_5,3609,3654,0.008740417677362666,0.008740417677362666
all,neutral_060_6,461,506,0.007585434247263989,0.007585434247263989
all,neutral_060_6,462,507,-0.009981422755087954,-0.009981422755087954
all,neutral_060_6,463,508,-0.0033812132485964153,-0.0033812132485964153
all,neutral_060_6,464,509,-0.0012270765609266876,-0.0012270765609266876
all,neutral_060_6,465,510,-0.0025929607809143107,-0.0025929607809143107
all,neutral_060_6,466,511,-0.004823985275991816,-0.004823985275991816
all,neutral_060_6,467,512,-0.009104409055001761,-0.009104409055001761
all,neutral_060_6,468,513,-0.0004142550853837301,-0.0004142550853837301
all,neutral_060_6,469,514,0.000896544844355085,0.000896544844355085
all,neutral_060_6,470,515,-0.0029232784904579256,-0.0029232784904579256
all,neutral_060_6,471,516,-0.00901447707644154,-0.00901447707644154
all,neutral_060_6,472,517,0.00518721891498819,0.00518721891498819
all,neutral_060_6,473,518,-0.0018806785814580174,-0.0018806785814580174
all,neutral_060_6,474,519,-0.012716778234867832,-0.012716778234867832
all,neutral_060_6,475,520,-0.01749913500797784,-0.01749913500797784
all,neutral_060_6,476,521,-0.025903311405437446,-0.025903311405437446
all,neutral_060_6,477,522,0.04218084420432677,0.04218084420432677
all,neutral_060_6,478,523,0.03869777890485526,0.03869777890485526
all,neutral_060_6,479,524,-0.01047448569604903,-0.01047448569604903
all,neutral_060_6,480,525,-0.007605696382061655,-0.007605696382061655
all,neutral_060_6,481,526,-0.010207101347610048,-0.010207101347610048
all,neutral_060_6,482,527,-0.010336337822631325,-0.010336337822631325
all,neutral_060_6,483,528,-0.0032684554266200205,-0.0032684554266200205
all,neutral_060_6,484,529,-0.002363054465112646,-0.002363054465112646
all,neutral_060_6,485,530,-0.0023899492868358907,-0.0023899492868358907
all,neutral_060_6,486,531,-0.00904479232585187,-0.00904479232585187
all,neutral_060_6,487,532,-0.015209373705954432,-0.015209373705954432
all,neutral_060_6,488,533,-0.007689135348723952,-0.007689135348723952
all,neutral_060_6,489,534,-0.015290513809963269,-0.015290513809963269
all,neutral_060_6,490,535,-0.018243057996036982,-0.018243057996036982
all,neutral_060_6,491,536,-0.023774716756335912,-0.023774716756335912
all,neutral_060_6,492,537,-0.022121905338828296,-0.022121905338828296
all,neutral_060_6,493,538,-0.018236961894615877,-0.018236961894615877
all,neutral_060_6,494,539,-0.02522726953985066,-0.02522726953985066
all,neutral_060_6,495,540,-0.03191433074752581,-0.03191433074752581
all,neutral_060_6,496,541,-0.0224404895338709,-0.0224404895338709
all,neutral_060_6,746,791,-0.009841232379004028,-0.009841232379004028
all,neutral_060_6,747,792,-0.00938762695898876,-0.00938762695898876
all,neutral_060_6,748,793,-0.008873611004404758,-0.008873611004404758
all,neutral_060_6,749,794,-0.012182148773043577,-0.012182148773043577
all,neutral_060_6,750,795,-0.010813142320111657,-0.010813142320111657
all,neutral_060_6,751,796,-0.01519902267109452,-0.01519902267109452
all,neutral_060_6,752,797,-0.013859710502655664,-0.013859710502655664
all,neutral_060_6,753,798,-0.011632420927828901,-0.011632420927828901
all,neutral_060_6,754,799,0.001462145006678961,0.001462145006678961
all,neutral_060_6,755,800,0.00016858882168091505,0.00016858882168091505
all,neutral_060_6,756,801,-0.008565871033641592,-0.008565871033641592
all,neutral_060_6,757,802,-0.001143463769124775,-0.001143463769124775
all,neutral_060_6,758,803,-0.0010176338757819092,-0.0010176338757819092
all,neutral_060_6,759,804,-0.004080122232709149,-0.004080122232709149
all,neutral_060_6,760,805,0.0022605086185356615,0.0022605086185356615
all,neutral_060_6,761,806,0.003455972970160648,0.003455972970160648
all,neutral_060_6,762,807,0.0036203514114132584,0.0036203514114132584
all,neutral_060_6,763,808,0.00030752893445074037,0.00030752893445074037
all,neutral_060_6,764,809,0.00439162420171435,0.00439162420171435
all,neutral_060_6,765,810,0.003323339442689921,0.003323339442689921
all,neutral_060_6,766,811,1.65527208548788e-05,1.65527208548788e-05
all,neutral_060_6,767,812,0.004859364185169968,0.004859364185169968
all,neutral_060_6,768,813,0.009322244269665436,0.009322244269665436
all,neutral_060_6,769,814,0.008592878157922534,0.008592878157922534
all,neutral_060_6,770,815,0.0116115432293038,0.0116115432293038
all,neutral_060_6,771,816,0.006264629363793794,0.006264629363793794
all,neutral_060_6,772,817,0.007580239671808098,0.007580239671808098
all,neutral_060_6,773,818,0.015884192121214724,0.015884192121214724
all,neutral_060_6,774,819,0.008953001971234276,0.008953001971234276
all,neutral_060_6,775,820,0.0043879827761195145,0.0043879827761195145
all,neutral_060_6,776,821,-9.026142072676713e-05,-9.026142072676713e-05
all,neutral_060_6,777,822,-0.013587629360577225,-0.013587629360577225
all,neutral_060_6,778,823,-0.0038288430930397688,-0.0038288430930397688
all,neutral_060_6,779,824,-0.0048245761918142005,-0.0048245761918142005
all,neutral_060_6,780,825,-0.010445480270981466,-0.010445480270981466
all,neutral_060_6,781,826,-0.003813687904126839,-0.003813687904126839
all,neutral_060_6,995,1040,-0.0035894032417815858,-0.0035894032417815858
all,neutral_060_6,996,1041,-0.000375055585879025,-0.000375055585879025
all,neutral_060_6,997,1042,0.005601536762885662,0.005601536762885662
all,neutral_060_6,998,1043,0.005170678995501499,0.005170678995501499
all,neutral_060_6,999,1044,0.006617085270030687,0.006617085270030687
all,neutral_060_6,1000,1045,0.00412373160056867,0.00412373160056867
all,neutral_060_6,1001,1046,0.0027741891975121558,0.0027741891975121558
all,neutral_060_6,1002,1047,-0.00045779882039154174,-0.00045779882039154174
all,neutral_060_6,1003,1048,0.005765445601046082,0.005765445601046082
all,neutral_060_6,1004,1049,-0.003459437885680483,-0.003459437885680483
all,neutral_060_6,1005,1050,0.005412813424406693,0.005412813424406693
all,neutral_060_6,1006,1051,0.0019090740432645692,0.0019090740432645692
all,neutral_060_6,1007,1052,0.007094480479812981,0.007094480479812981
all,neutral_060_6,1008,1053,0.010057955912564198,0.010057955912564198
all,neutral_060_6,1009,1054,0.007284509544966955,0.007284509544966955
all,neutral_060_6,1010,1055,0.00834129768229519,0.00834129768229519
all,neutral_060_6,1011,1056,0.00850097586326104,0.00850097586326104
all,neutral_060_6,1012,1057,0.0038987991771186614,0.0038987991771186614
all,neutral_060_6,1013,1058,0.0035301821339210893,0.0035301821339210893
all,neutral_060_6,1014,1059,0.006459344922200128,0.006459344922200128
all,neutral_060_6,1015,1060,0.006976225782735268,0.006976225782735268
all,neutral_060_6,1016,1061,0.00883781972690656,0.00883781972690656
all,neutral_060_6,1017,1062,0.0024642451534355736,0.0024642451534355736
all,neutral_060_6,1018,1063,0.003793361637855819,0.003793361637855819
all,neutral_060_6,2378,2423,-0.01565462779214477,-0.01565462779214477
all,neutral_060_6,2379,2424,-0.006284197383773948,-0.006284197383773948
all,neutral_060_6,2380,2425,-0.007101079219089201,-0.007101079219089201
all,neutral_060_6,2381,2426,-0.010018894790247534,-0.010018894790247534
all,neutral_060_6,3598,3643,0.03326049165228562,0.03326049165228562
all,neutral_060_6,3599,3644,0.017270480979365566,0.017270480979365566
all,neutral_060_6,3600,3645,0.021482559092860898,0.021482559092860898
all,neutral_060_6,3601,3646,0.027844309550825397,0.027844309550825397
all,neutral_060_6,3602,3647,0.01994233363178699,0.01994233363178699
all,neutral_060_6,3603,3648,0.03004937301436872,0.03004937301436872
all,neutral_060_6,3604,3649,0.03613693496794457,0.03613693496794457
all,neutral_060_6,3605,3650,0.04791096082669033,0.04791096082669033
all,neutral_060_6,3606,3651,0.02084086602112034,0.02084086602112034
all,neutral_060_6,3607,3652,0.010922512648396498,0.010922512648396498
all,neutral_060_6,3608,3653,0.018666872957358693,0.018666872957358693
all,neutral_060_6,3609,3654,0.015839888467070518,0.015839888467070518
all,neutral_055_6,461,506,0.008100452213005704,0.008100452213005704
all,neutral_055_6,462,507,-0.009638934756037831,-0.009638934756037831
all,neutral_055_6,463,508,-0.002008980787022052,-0.002008980787022052
all,neutral_055_6,464,509,-0.0019369641553551586,-0.0019369641553551586
all,neutral_055_6,465,510,-0.003116947058666719,-0.003116947058666719
all,neutral_055_6,466,511,-0.005700269859632456,-0.005700269859632456
all,neutral_055_6,467,512,-0.006827692108479777,-0.006827692108479777
all,neutral_055_6,468,513,0.002002963170327776,0.002002963170327776
all,neutral_055_6,469,514,-0.0014098829263301527,-0.0014098829263301527
all,neutral_055_6,470,515,-0.004727253183432589,-0.004727253183432589
all,neutral_055_6,471,516,-0.01095593315450849,-0.01095593315450849
all,neutral_055_6,472,517,0.01086962709349637,0.01086962709349637
all,neutral_055_6,473,518,0.0006468894023219374,0.0006468894023219374
all,neutral_055_6,474,519,-0.017685701139119936,-0.017685701139119936
all,neutral_055_6,475,520,-0.022240827675098385,-0.022240827675098385
all,neutral_055_6,476,521,-0.030998739339850423,-0.030998739339850423
all,neutral_055_6,477,522,0.05767878542691385,0.05767878542691385
all,neutral_055_6,478,523,0.053334283185813236,0.053334283185813236
all,neutral_055_6,479,524,-0.01302610443998986,-0.01302610443998986
all,neutral_055_6,480,525,-0.009948300652058095,-0.009948300652058095
all,neutral_055_6,481,526,-0.012259268851479765,-0.012259268851479765
all,neutral_055_6,482,527,-0.012418604718214654,-0.012418604718214654
all,neutral_055_6,483,528,-0.005075327068630009,-0.005075327068630009
all,neutral_055_6,484,529,-0.004093120698421493,-0.004093120698421493
all,neutral_055_6,485,530,-0.0037807696072368335,-0.0037807696072368335
all,neutral_055_6,486,531,-0.012432280915088856,-0.012432280915088856
all,neutral_055_6,487,532,-0.018016545113452076,-0.018016545113452076
all,neutral_055_6,488,533,-0.011173537846958181,-0.011173537846958181
all,neutral_055_6,489,534,-0.019626822715361647,-0.019626822715361647
all,neutral_055_6,490,535,-0.022691220991196914,-0.022691220991196914
all,neutral_055_6,491,536,-0.029146995888311378,-0.029146995888311378
all,neutral_055_6,492,537,-0.027654818493292876,-0.027654818493292876
all,neutral_055_6,493,538,-0.02261133143954419,-0.02261133143954419
all,neutral_055_6,494,539,-0.030762082614179898,-0.030762082614179898
all,neutral_055_6,495,540,-0.038166293764880566,-0.038166293764880566
all,neutral_055_6,496,541,-0.027398768665001016,-0.027398768665001016
